Instruction,Input,Output
Write a Python program that counts the occurrence of each string in a dictionary.,"data = {""foo"": 1, ""bar"": 2, ""baz"": 3, ""foo"": 4, ""bar"": 5}","data = {""foo"": 1, ""bar"": 2, ""baz"": 3, ""foo"": 4, ""bar"": 5}

counts = {}
for key, value in data.items():
    if key in counts:
        counts[key] += 1
    else:
        counts[key] = 1

print(counts)"
Edit the given Python program to return the absolute value of a given number,"def absolute_value(x):
    if x < 0:
        return -x","def absolute_value(x):
    if x < 0:
        return -x
    else:
        return x"
Develop a Python script to print all possible words with a given set of letters.,"letters = ('a', 'c', 'd', 'e', 'm')","import itertools 

letters = ('a', 'c', 'd', 'e', 'm') 

for words in itertools.permutations(letters): 
    print(''.join(words))"
Write a Python program to filter out all the even numbers from a list.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","def filter_even(numbers):
    return [n for n in numbers if n %2 == 0]"
Design an algorithm in Python to check if an integer is even or odd.,n = 5,"def check_number(n):
    if n%2==0:
        return ""Even""
    else:
        return ""Odd""

check_number(5) 
# Output: Odd"
Design an algorithm using Python to select the kth largest element from a list.,"[5, 10, 15, 20, 25]","def getKthLargest(arr, k): 
    arr.sort() 
  
    # Return the k'th largest element
    return arr[len(arr)-k]"
Write a function in Python that takes a string as input and converts it to title case.,"s = ""this is a test string""","def convertToTitleCase(s):
    return ' '.join(word[0].upper() + word[1:] for word in s.split())
 
print(convertToTitleCase(""this is a test string""))  # Output: This Is A Test String"
Write a Python program to convert a given list of numbers into their corresponding binary representation.,"[3,8,6]","def list_to_binary(nums):
    binary = []
    for num in nums:
        binary.append(bin(num))
    return binary

result = list_to_binary([3, 8, 6])
print(result)"
Create an application in Python that takes user input for an year and prints the day of the week for January 1st of that year.,Year: 2018,"import datetime

def day_of_week(year): 
 date = datetime.datetime(year, 1, 1)
 return date.strftime(""%A"")

print(day_of_week(2018)) # Output: Monday"
Create a Python program that generates an HTML page that shows a bar chart for the given data.,"data = {'red': 10, 'orange': 12, 'yellow': 8}","import matplotlib.pyplot as plt

data = {'red': 10, 'orange': 12, 'yellow': 8}

fig, ax = plt.subplots()
ax.bar(list(data.keys()), list(data.values()))

plt.savefig('bar_chart.png')

print(f""""""
<!DOCTYPE html>
<html>
<head>
 <title>Bar Chart</title>
</head>
<body>
 <h1>Bar Chart</h1>
 <img src='bar_chart.png' />
</body>
</html>
"""""")"
Convert the following C code that takes a list and adds each number to the list to Python.,"int arr[] = {1, 2, 3, 4};
int result = 0;

for (int i = 0; i < sizeof(arr) / sizeof(arr[0]); i++){
  result += arr[i];
}","arr = [1, 2, 3, 4]
result = 0

for i in range(len(arr)):
  result += arr[i]"
Write a python code to extract the phone number and email address from a provided string,"txt =""John Smith-555-1234, john.s@example.com""","import re

txt =""John Smith-555-1234, john.s@example.com""

# Phone Number
phone = re.findall(r'\d{3}-\d{4}', txt)[0]
print(""Phone Number ="", phone) 

# Email Address
email = re.findall(r'\S+@\S+', txt)[0]
print(""Email Address ="", email)"
Write a Python program to parse the following JSON and print out the values of the type and message keys.,"{
  ""type"": ""error"",
  ""message"": ""An error occurred""
}","import json

data = '{""type"": ""error"", ""message"": ""An error occurred""}'

json_data = json.loads(data)
print(json_data[""type""]) # prints ""error""
print(json_data[""message""]) # prints ""An error occurred"""
Write a Python program to find the most frequent item in a given list of data.,"data = [0,0,1,1,2,3,3,3,3,3,0,0]","max_count = 0
max_element = None
for element in data:
  count = data.count(element)
  if count > max_count:
    max_element = element
    max_count = count
print(max_element)"
"Generate a function in Python using the input argument that takes in a string, removes all the vowels from it, and returns a new string without any vowels.",the quick brown fox jumps over the lazy dog,"def remove_vowels(text):
    no_vowels = """"
    for character in text:
        if character not in ""aeiouAEIOU"":
            no_vowels += character
    return no_vowels"
Optimize the python code that finds the sum of the elements in a given array.,"def sum(arr): 
    s = 0
    for i in range(len(arr)): 
        s += arr[i] 
    return s","def sum(arr): 
    s = 0
    for number in arr: 
        s += number 
    return s"
Develop an algorithm in Python for deletion of an element from an array.,"[1, 2, 3, 4], 3","def deleteElement(arr, element):
    index = -1
    for i in range(len(arr)):
        if arr[i] == element:
            index = i
            break
    if index != -1:
        arr.pop(index)
        return arr
    else:
        return -1

arr = [1, 2, 3, 4]
element = 3
new_arr = deleteElement(arr, element)
print(new_arr)"
Write a Python function to extract the last digits of a given integer.,n = 12345,"def extract_last_digits(n):
  return int(str(n)[-2:])

result = extract_last_digits(12345)
print(result)"
Design a Python algorithm that takes a list of numbers and returns a list of all the pairs of numbers whose sum is equal to a specified number.,"[1, 2, 3, 4, 5], 4","def find_pairs_with_sum(nums, target):
    result = []
    seen = set()
    
    for num in nums:
        if (target - num) in seen:
            result.append([num, target-num])
        seen.add(num)

    return result

nums = [1,2,3,4,5]
target = 4

result = find_pairs_with_sum(nums, target)
print(result)"
Examine a given Python program and modify it to only print out characters which are palindromes.,"my_string = ""I like mangoes""","my_string = ""I like mangoes""

for char in my_string:
	if char == char[::-1]:
		print(char)"
Write a Python program to filter a list of strings and only return the strings which follow a certain pattern.,"strings = [""hello"", ""hell"", ""world"", ""word"", ""hello_world""]","filtered_strings = [string for string in strings if re.match(r""^hello.*world$"", string)] 
# filtered_strings = [""hello_world""]"
Write a Python script to reduce an array of integers by their GCD.,"[30, 20, 45]","def gcd(a, b):
   while a != 0:
       a, b = b % a, a
   return b

def reduce_by_gcd(arr):
    gcd_val = arr[0]
    for i in range(len(arr)):
        gcd_val = gcd(gcd_val, arr[i])
    return [a // gcd_val for a in arr]

reduced_arr = reduce_by_gcd([30, 20, 45])
print(reduced_arr) # [2, 3, 5]"
Implement a Python function that will take two strings and return true if the first string contains the second.,"query = ""catering""
word = ""cat""","def check_contains(query, word): 
    if query.find(word) != -1:
        return True
    return False

result = check_contains(query, word)"
Create a function in Python that will sort a list of tuples based on the second elements in the tuples.,"[(2, 1), (3, 7), (6, 5)]","def sort_by_second_element(tuples):
    return sorted(tuples, key=lambda element: element[1])

// testing
tuples_list = [(2, 1), (3, 7), (6, 5)]
print(""Original list of tuples:"")
print(tuples_list)
print(""Sorted list of tuples based on the second element of tuples:"")
print(sort_by_second_element(tuples_list))"
Create a function in Python that takes an integer route x as input and returns all possible subsequences of length x.,x = 2,"def subsequences(x):
 subs = []
 for i in range(1<<x):
 sub = []
 for j in range(x):
 if (i & (1 << j)) > 0:
 sub.append(j)
 subs.append(sub)
 return subs"
Develop a python program to remove punctuations from an input text,This is a great world - let's start coding!,"import string 
  
# Remove punctuations from string 
def remove_punctuations(s): 
    s = ''.join([i for i in s if i not in frozenset(string.punctuation)]) 
    return s 
  
# Driver Code 
if __name__ == ""__main__"" : 
  
    text = ""This is a great world - let's start coding!""
    print(remove_punctuations(text))"
Write a python code to detect the palindrome words in a  given sentence.,"Sentence: ""Was it a car or a cat I saw?""","def detect_palindrome(sentence):
 words = sentence.split()
 palindromes = []
 for word in words:
  if word == word[::-1]:
   palindromes.append(word)
 return palindromes

print(detect_palindrome(""Was it a car or a cat I saw?""))
# Output: ['Was', 'a', 'or', 'a', 'I']"
Create a loop in Python to print every permutation of a list of strings.,"[""Hello"", ""World"", ""Foo"", ""Bar""]","import itertools 
  
# list of strings 
list_of_strings = [""Hello"", ""World"", ""Foo"", ""Bar""] 
  
# using itertools 
# to get the permutations 
permutations = itertools.permutations(list_of_strings) 
  
# printing permutations 
for i in list(permutations): 
    print(i)"
Make a Python program to create a rolling average over a list. Rolling average means return the average of the last 3 items of the list.,"mylist = [10, 20, 30, 40, 50]","def rolling_average(arr):
    last_three = arr[-3:]
    return sum(last_three) / len(last_three)

mylist = [10, 20, 30, 40, 50]
rolling_avg = rolling_average(mylist)
print(""Rolling average:"", rolling_avg)

# Output:
# Rolling average: 33.333333333333336"
Produce a Python program which parses a given html string and extracts all text from it.,"HTML String: ""<p>This is a <strong>html</strong> string.</p>""","def get_text_from_html(html_str):
    soup = BeautifulSoup(html_str, 'html.parser')
    all_text = soup.find_all(text=True)
    return ' '.join(all_text)"
Create a web scraper in Python to extract all data from a page with the URL: http://example.com,http://example.com,"import requests 
from bs4 import BeautifulSoup

r = requests.get(""http://example.com"") 
data = r.text 
soup = BeautifulSoup(data, 'html.parser') 

for item in soup.find_all(""div""): 
 print(item.text)"
Create a Python program for simulating a bouncing ball with a bouncing height of 10 meters. The program should print out the time at which the ball reaches the ground.,The initial velocity of the ball is 20 m/s.,"import math

# initial velocity
v0 = 20
# height
h = 10
# time to reach ground
t = (v0 * 2) / 9.81

print(""The ball will reach the ground in {:.2f} seconds"".format(t))"
Write a function to find all the possible subset sums of a given array.,"arr = [1,2,3]","# Python program to find all possible subset sums

def find_subset_sums(arr):
    sums = set()
    for i in range(2**len(arr)):
        csum = 0
        for j in range(len(arr)):
            if i & (1<<j):
                csum += arr[j]
        sums.add(csum)
    return sums"
Edit the following code snippet in Python to remove the duplicates from a list.,"my_list = [1,2,2,3,4,5,5,5]",my_list = list(dict.fromkeys(my_list))
Create a python function that randomly selects three numbers from a given list and sort them in descending order.,"[4, 7, 9, 11, 33, 2]","import random

def sort_numbers(lst):
    nums = random.sample(lst, 3)
    nums.sort(reverse=True)

    return nums

nums = [4, 7, 9, 11, 33, 2]
sorted_nums = sort_numbers(nums)

print(sorted_nums) # [33, 11, 9]"
Write an algorithm in Python that can detect the number of times a given keyword appears in a given text.,"Text: Every morning I start my day with a cup of coffee.
Keyword: cup","def count_keyword(text, keyword):
 count = 0
 words = text.lower().split()

 for word in words:
 if word == keyword.lower():
 count += 1

 return count

text = 'Every morning I start my day with a cup of coffee.'
print(count_keyword(text, 'cup'))
# Output: 1"
Create an object from a class in Python.,"class Employee: def __init__ (self, name, age): self.name = name self.age = age","john = Employee(""John"", 25)"
Develop a Python program to determine the average length of words in a sentence.,"""This is a sample sentence with 8 words.""","def average_length(sentence):
    words = sentence.split()
    char_count = 0
    
    for word in words:
        char_count += len(word)
    
    average_length = char_count / len(words)
    return average_length

average_length(""This is a sample sentence with 8 words."") # output: 3.5"
